raceId,year,round,name,lap,is_sprint,overtakerId,overtaker_name,overtakenId,overtaken_name,net_positions_gained,point_value,overtaker_prev_pos,overtaker_curr_pos,overtaken_prev_pos,overtaken_curr_pos,global_lap
1145,2025,1,Australian Grand Prix,14,False,863,Andrea Kimi Antonelli,807,Nico Hülkenberg,1,0,13,12,12,13,1
1145,2025,1,Australian Grand Prix,16,False,807,Nico Hülkenberg,863,Andrea Kimi Antonelli,1,0,13,12,12,13,2
1145,2025,1,Australian Grand Prix,17,False,857,Oscar Piastri,830,Max Verstappen,1,3,3,2,2,3,3
1145,2025,1,Australian Grand Prix,17,False,863,Andrea Kimi Antonelli,807,Nico Hülkenberg,1,0,13,12,12,13,4
1145,2025,1,Australian Grand Prix,19,False,859,Liam Lawson,839,Esteban Ocon,1,0,16,15,15,16,5
1145,2025,1,Australian Grand Prix,22,False,863,Andrea Kimi Antonelli,840,Lance Stroll,1,0,12,11,11,12,6
1145,2025,1,Australian Grand Prix,33,False,807,Nico Hülkenberg,840,Lance Stroll,1,0,13,12,12,13,7
1145,2025,1,Australian Grand Prix,33,False,839,Esteban Ocon,859,Liam Lawson,1,0,16,15,15,16,8
1145,2025,1,Australian Grand Prix,33,False,839,Esteban Ocon,864,Gabriel Bortoleto,1,0,15,14,14,15,9
1145,2025,1,Australian Grand Prix,33,False,840,Lance Stroll,863,Andrea Kimi Antonelli,1,0,12,11,11,12,10
1145,2025,1,Australian Grand Prix,33,False,860,Oliver Bearman,839,Esteban Ocon,1,0,17,16,16,17,11
1145,2025,1,Australian Grand Prix,33,False,864,Gabriel Bortoleto,807,Nico Hülkenberg,1,0,14,13,13,14,12
1145,2025,1,Australian Grand Prix,34,False,860,Oliver Bearman,859,Liam Lawson,1,0,16,15,15,16,13
1145,2025,1,Australian Grand Prix,39,False,859,Liam Lawson,860,Oliver Bearman,1,0,16,15,15,16,14
1145,2025,1,Australian Grand Prix,39,False,859,Liam Lawson,839,Esteban Ocon,1,0,15,14,14,15,15
1145,2025,1,Australian Grand Prix,43,False,852,Yuki Tsunoda,844,Charles Leclerc,1,2,6,5,5,6,16
1145,2025,1,Australian Grand Prix,44,False,1,Lewis Hamilton,848,Alexander Albon,1,2,8,7,7,8,17
1145,2025,1,Australian Grand Prix,44,False,1,Lewis Hamilton,844,Charles Leclerc,1,2,7,6,6,7,18
1145,2025,1,Australian Grand Prix,44,False,1,Lewis Hamilton,852,Yuki Tsunoda,1,2,6,5,5,6,19
1145,2025,1,Australian Grand Prix,44,False,1,Lewis Hamilton,847,George Russell,1,2,5,4,4,5,20
1145,2025,1,Australian Grand Prix,44,False,1,Lewis Hamilton,830,Max Verstappen,1,3,4,3,3,4,21
1145,2025,1,Australian Grand Prix,44,False,830,Max Verstappen,857,Oscar Piastri,1,3,3,2,2,3,22
1145,2025,1,Australian Grand Prix,44,False,830,Max Verstappen,846,Lando Norris,1,7,2,1,1,2,23
1145,2025,1,Australian Grand Prix,44,False,839,Esteban Ocon,859,Liam Lawson,1,0,15,14,14,15,24
1145,2025,1,Australian Grand Prix,44,False,840,Lance Stroll,863,Andrea Kimi Antonelli,1,1,11,10,10,11,25
1145,2025,1,Australian Grand Prix,44,False,842,Pierre Gasly,1,Lewis Hamilton,1,2,9,8,8,9,26
1145,2025,1,Australian Grand Prix,44,False,842,Pierre Gasly,848,Alexander Albon,1,2,8,7,7,8,27
1145,2025,1,Australian Grand Prix,44,False,842,Pierre Gasly,844,Charles Leclerc,1,2,7,6,6,7,28
